epoch,accuracy,loss,val_accuracy,val_loss
0,0.3623028099536896,1.331030011177063,0.4812680184841156,1.254374623298645
1,0.6307777762413025,1.0031375885009766,0.6657060384750366,0.9249613285064697
2,0.7910323739051819,0.5869846940040588,0.7146974205970764,0.8046388030052185
3,0.8505397439002991,0.4160795509815216,0.6945244669914246,0.7882562279701233
4,0.8843066692352295,0.323085755109787,0.7031700015068054,0.8577365279197693
5,0.9092167019844055,0.26383155584335327,0.6772334575653076,0.892526388168335
6,0.9285911917686462,0.21374046802520752,0.7031700015068054,0.9214140772819519
7,0.9440907835960388,0.17850127816200256,0.7031700015068054,1.0143593549728394
8,0.9587600231170654,0.147686168551445,0.6887608170509338,1.057323932647705
9,0.9604207277297974,0.1350182741880417,0.6743515729904175,1.1299253702163696
10,0.9645723700523376,0.11491000652313232,0.6916426420211792,1.1696710586547852
11,0.9662330746650696,0.10756489634513855,0.6829971075057983,1.1954907178878784
12,0.9701079726219177,0.09779626131057739,0.6974063515663147,1.2829439640045166
13,0.9695543646812439,0.0898524597287178,0.6772334575653076,1.3303803205490112
14,0.973429262638092,0.08372372388839722,0.6945244669914246,1.3500179052352905
15,0.9739828109741211,0.08023104816675186,0.6945244669914246,1.3517611026763916
16,0.9759202599525452,0.07528813183307648,0.6829971075057983,1.4180855751037598
17,0.9759202599525452,0.06822191178798676,0.6916426420211792,1.4384022951126099
18,0.974259614944458,0.07439523935317993,0.6916426420211792,1.4496378898620605
19,0.9795184135437012,0.06553617119789124,0.6974063515663147,1.4598371982574463
20,0.9748131632804871,0.06638344377279282,0.6974063515663147,1.5061519145965576
21,0.9789648652076721,0.06105393171310425,0.6858789920806885,1.5566514730453491
22,0.975089967250824,0.0641365721821785,0.6974063515663147,1.508553385734558
23,0.9773041605949402,0.05978391319513321,0.6858789920806885,1.5379600524902344
24,0.9784113168716431,0.057288359850645065,0.6945244669914246,1.5607625246047974
